,bucket,cpu,gcl,population,time
442,9797,5.325475,13590.834761764854,12,
443,9811,8.879665,13593.834761764854,12,
444,9821,5.440599,13596.834761764854,12,
445,9834,4.608721,13599.834761764854,12,
446,9848,3.906682,13602.834761764854,12,
447,9863,3.940568,13607.834761764854,12,
448,9878,4.49364,13612.834761764854,12,
449,9892,8.810488,13617.834761764854,12,
450,9902,12.333056,13622.834761764854,11,
451,9909,68.54261799999999,13635.834761764854,11,
452,9859,5.054257,13648.834761764854,11,
453,9873,4.550055,13662.834761764854,11,
454,9887,4.638135,13667.834761764854,11,
455,9901,49.415748,13672.834761764854,11,
456,9871,4.873222999999999,13677.834761764854,11,
457,9885,4.288633,13682.834761764854,11,
458,9900,32.836747,13687.834761764854,11,
459,9886,10.000164999999999,13692.834761764854,11,
460,9895,6.1526559999999995,13697.834761764854,11,
461,9908,4.6226449999999994,13704.834761764854,11,
462,9922,4.976398,13711.834761764854,11,
463,9936,4.360958,13716.834761764854,11,
464,9951,5.737330999999999,13721.834761764854,11,
465,9964,4.9838819999999995,13726.834761764854,11,
466,9978,40.819327,13728.834761764854,11,
467,9956,21.071054999999998,13730.834761764854,11,
468,9954,4.823221,13734.834761764854,11,
469,9968,7.772644,13738.834761764854,11,
470,9979,4.128852999999999,13742.834761764854,11,
471,9994,4.161136,13746.834761764854,11,
472,10000,4.5135570000000005,13751.834761764854,11,
473,10000,4.855582,13756.834761764854,11,
474,10000,4.646299,13761.834761764854,11,
475,10000,9.351931,13766.834761764854,10,
476,10000,3.9763349999999997,13769.834761764854,10,
477,10000,5.918779,13772.834761764854,10,
478,10000,4.096087,13783.834761764854,10,
479,10000,4.951923,13794.834761764854,10,
480,10000,5.001792,13805.834761764854,10,
481,10000,3.609736,13807.834761764854,10,
482,10000,11.529636,13809.834761764854,10,
483,10000,28.677204,13811.834761764854,10,
484,10990,247.75327299999998,13813.834761764854,10,
485,10000,4.107107,13815.834761764854,10,
486,10000,254.94471099999998,13817.834761764854,10,
487,9764,270.428786,13819.834761764854,10,
488,9512,257.461997,13821.834761764854,10,
489,9273,4.281841,13823.834761764854,10,
490,9288,4.299564,13825.834761764854,10,
491,9302,10.305299,13827.834761764854,10,
492,9311,5.1152359999999994,13829.834761764854,10,
493,9325,3.735398,13831.834761764854,10,
494,9340,4.377085,13841.834761764854,10,
495,9355,4.591682,13851.834761764854,10,
496,9369,4.73367,13861.834761764854,10,
497,9383,4.107762,13869.834761764854,10,
498,9398,49.711984,13878.834761764854,10,
499,9367,23.843092,13887.834761764854,10,
500,9362,4.213093,13896.834761764854,10,
501,9377,3.938777,13905.834761764854,10,
502,9392,4.460209,13916.834761764854,10,
503,9406,4.325564,13927.834761764854,10,
504,9421,8.899147,13938.834761764854,10,
505,9431,5.488592,13949.834761764854,10,
506,9444,5.34439,13960.834761764854,10,
507,9458,8.376233,13971.834761764854,10,
508,9469,5.520781,13973.834761764854,9,
509,9482,3.7538650000000002,13975.834761764854,9,
510,9497,3.9855679999999998,13977.834761764854,9,
511,9512,3.8189159999999998,13979.834761764854,9,
512,9527,4.0258,13981.834761764854,9,
513,9542,4.093813,13983.834761764854,9,
514,9534,27.224487,13985.834761764854,9,
515,9526,33.440506,13987.834761764854,10,
516,9511,3.7850909999999995,13989.834761764854,10,
517,9526,4.251586,13991.834761764854,10,
518,9541,8.164258,13993.834761764854,10,
519,9552,18.208706,13995.834761764854,10,
520,9553,11.82757,14005.834761764854,10,
521,9558,4.832844,14016.834761764854,10,
522,9572,4.7552389999999995,14026.834761764854,10,
523,9586,8.829366,14036.834761764854,10,
524,9596,4.424267,14046.834761764854,10,
525,9610,3.8097299999999996,14056.834761764854,10,
526,9625,4.412699999999999,14066.834761764854,10,
527,9640,4.4876819999999995,14077.834761764854,10,
528,9654,4.149754,14079.834761764854,10,
529,9669,7.001633,14081.834761764854,10,
530,9681,17.506986,14091.834761764854,10,
531,9682,27.350599000000003,14102.834761764854,11,
532,9674,7.319364,14113.834761764854,11,
533,9686,6.3650269999999995,14124.834761764854,11,
534,9698,5.004283,14127.834761764854,11,
535,9712,4.789675,14129.834761764854,11,
536,9726,8.41555,14132.834761764854,11,
537,9736,7.488005,14135.834761764854,11,
538,9747,4.100775,14138.834761764854,11,
539,9762,10.37254,14149.834761764854,11,
540,9771,4.222087,14160.834761764854,11,
541,9786,5.476966,14171.834761764854,11,
542,9799,4.48641,14182.834761764854,11,
543,9813,16.093439,14193.834761764854,11,
544,9816,6.212755,14204.834761764854,11,
545,9828,3.62751,14215.834761764854,11,
546,9843,11.081543,14226.834761764854,11,
547,9851,19.035248000000003,14237.834761764854,11,
548,9851,34.838732,14248.834761764854,11,
549,9835,4.738803,14259.834761764854,11,
550,9849,11.663161,14270.834761764854,11,
551,9848,5.315649,14281.834761764854,11,
552,9862,5.291259,14290.834761764854,11,
553,9876,4.6101589999999995,14299.834761764854,11,
554,9890,4.899894,14308.834761764854,11,
555,9904,16.07693,14317.834761764854,12,
556,9907,5.6671499999999995,14326.834761764854,12,
557,9920,4.5942359999999995,14337.834761764854,12,
558,9934,5.592868999999999,14348.834761764854,12,
559,9947,4.192538,14359.834761764854,12,
560,9962,5.544059,14370.834761764854,12,
561,9975,5.846721,14381.834761764854,12,
562,9988,14.724187,14392.834761764854,12,
563,9992,12.775722,14403.834761764854,12,
564,9998,5.078031999999999,14414.834761764854,12,
565,10000,4.618976,14425.834761764854,12,
566,10000,19.94815,14436.834761764854,12,
567,9999,6.456499,14447.834761764854,12,
568,10000,5.372107,14458.834761764854,12,
569,10000,5.704014,14469.834761764854,12,
570,10000,5.224926999999999,14480.834761764854,12,
571,10000,10.546715,14491.834761764854,12,
572,10000,4.759824999999999,14502.834761764854,12,
573,10000,5.177701,14513.834761764854,12,
574,10000,4.281663,14515.834761764854,12,
575,10000,4.558464,14517.834761764854,12,
576,10000,4.838296,14521.834761764854,12,
577,10000,4.8853089999999995,14525.834761764854,12,
578,10000,13.015425,14530.834761764854,12,
579,10000,17.174489,14535.834761764854,12,
580,10000,25.209564,14540.834761764854,12,
581,9994,4.471626,14545.834761764854,12,
582,10000,5.108169999999999,14550.834761764854,12,
583,10000,5.270954,14555.834761764854,12,
584,11000,243.578953,14560.834761764854,12,
585,10000,236.733373,14565.834761764854,12,
586,9782,6.15128,14570.834761764854,12,
587,9795,242.198564,14575.834761764854,12,
588,9571,257.055989,14580.834761764854,12,
589,9333,5.963172,14585.834761764854,12,
590,9346,5.7771349999999995,14590.834761764854,12,
591,9359,5.5353959999999995,14595.834761764854,12,
592,9372,5.136619,14600.834761764854,12,
593,9386,5.316482,14605.834761764854,12,
594,9400,29.996967,14610.834761764854,12,
595,9389,20.974983,14615.834761764854,12,
596,9387,4.711984,14620.834761764854,12,
597,9401,5.052442,14625.834761764854,12,
598,9415,5.250537,14631.834761764854,12,
599,9429,12.216251999999999,14637.834761764854,12,
600,9436,4.485689,14651.834761764854,12,
601,9450,5.8742659999999995,14665.834761764854,12,
602,9463,7.712458,14679.834761764854,12,
603,9474,14.673043,14695.834761764854,12,
604,9478,5.154773,14703.834761764854,12,
605,9492,4.945256,14711.834761764854,12,
606,9506,5.46909,14719.834761764854,12,
607,9519,4.478231,14725.834761764854,12,
608,9533,5.278833,14731.834761764854,11,
609,9547,5.506819,14737.834761764854,11,
610,9560,13.98103,14743.834761764854,11,
611,9565,131.36858800000002,14749.834761764854,12,
612,9452,4.215968,14757.834761764854,12,
613,9467,6.141604,14765.834761764854,12,
614,9480,5.20878,14773.834761764854,12,
615,9494,10.111017,14781.834761764854,12,
616,9503,4.874791,14789.834761764854,12,
617,9517,4.512022,14797.834761764854,12,
618,9531,9.784845,14813.834761764854,12,
619,9540,16.409793,14821.834761764854,12,
620,9543,5.025791,14829.834761764854,12,
621,9557,5.079604,14837.834761764854,12,
622,9571,5.240494,14845.834761764854,12,
623,9585,5.191153,14850.834761764854,12,
624,9599,4.8906469999999995,14855.834761764854,12,
625,9613,17.041131999999998,14860.834761764854,12,
626,9615,29.178621,14865.834761764854,12,
627,9605,37.971297,14870.834761764854,12,
628,9585,5.330194,14883.834761764854,12,
629,9599,4.324559,14888.834761764854,12,
630,9614,4.736256,14895.834761764854,12,
631,9628,5.7483640000000005,14902.834761764854,12,
632,9641,5.357695,14907.834761764854,12,
633,9655,5.186589,14912.834761764854,12,
634,9669,5.784293999999999,14917.834761764854,12,
635,9682,8.90226,14922.834761764854,12,
636,9692,4.691051,14927.834761764854,12,
637,9706,5.136063,14932.834761764854,12,
638,9720,4.992732999999999,14937.834761764854,12,
639,9734,4.660721,14942.834761764854,12,
640,9748,5.541448,14947.834761764854,12,
